STATION CODE,STATE,District,Lat,Lng
1016,Meghalaya,East Khasi Hills district,25.3682,91.7539
1017,Meghalaya,East Khasi Hills district,25.3682,91.7539
1018,Meghalaya,East Khasi Hills district,25.3682,91.7539
1019,Meghalaya,East Khasi Hills district,25.3682,91.7539
1020,Meghalaya,East Khasi Hills district,25.3682,91.7539
1021,Meghalaya,East Khasi Hills district,25.3682,91.7539
1022,Meghalaya,East Khasi Hills district,25.3682,91.7539
1023,Meghalaya,East Khasi Hills district,25.3682,91.7539
1024,Meghalaya,East Khasi Hills district,25.3682,91.7539
1025,Meghalaya,East Khasi Hills district,25.3682,91.7539
1026,Meghalaya,East Khasi Hills district,25.3682,91.7539
1027,Meghalaya,East Khasi Hills district,25.3682,91.7539
1028,Meghalaya,East Khasi Hills district,25.3682,91.7539
1029,Meghalaya,East Khasi Hills district,25.3682,91.7539
1030,Meghalaya,East Khasi Hills district,25.3682,91.7539
1031,Meghalaya,South Garo Hills district,25.3301,90.5636
1032,Meghalaya,South Garo Hills district,25.3301,90.5636
1037,Tripura,South tripura,23.2317,91.5596
1038,Tripura,South tripura,23.2317,91.5596
1039,Tripura,West Tripura,23.8997,91.4048
